number of jobs, number of machines, time seed, machine seed, upper bound, lower bound :
          15          15  1993140927   179408412         951         899
processing times :
  6 99 33 11 45 61 97  9  4  8 24 32 26 43 83
 38 53  1 57 25 14 55 92 62 54 22 61 70 74 42
 95 38  9 85 79 74 65 17 30 84 45 29 11 30  5
 12 56 37 95 61 12 95 16 52 89 79 78 11 55 95
  8 13  2 10 76 82 84 21 74 14  7  1 28 42 35
  9 46 72 46 30 22 93 82 22  6 52 93  4 43 63
 18 39 85 69 84 94  2 99 66 16 94 61 37 13 62
 59 55 64 81 56 72 90 39 32 78 85  1 51 57 64
 94 39 43 86 18 33 73 83 40 23 59 81 99 11 22
 85 75 97 43 75  4  2 25 92 72 66 72 10 63 70
  5 79 59 51 97 78 74 12 60 46 89 62 12 50 33
 61 20 60 20  5 22 44 24 31  7 57 20 60 75 34
 80 62 11 90 38 91 50 96 47 39 38  3 34 95 35
 58 98 99 35 14 84 83 53 90 93 27 29 37 21 75
 14 67 41 10 30 51 77 13 88 46 36 88 96 33 52
machines :
  2 11 15 13  5  3 14  7 12  1  8  4  9 10  6
  8  4  7  2 12 13  6  9 15 10  5 11 14  3  1
 10 15 13  4  5  8 14  6 12  7 11  1  2  9  3
 13 12  3  4  7 15  9  2  1  8  5 10  6 11 14
 11  7  2  8 10 12  5  6  9  4 14 15  3  1 13
 14  5 15  9 12  8  3  6 11 10  7  4  2 13  1
 13  5  6 14  3  8 12  7  9  2 11 10  4  1 15
 13  5 10  7 11 14  8 12  9  3  6  2  4  1 15
 13  9 11  2 12 15  7  5 14  6  3  1  8  4 10
  1  2 13 11  8 12 10  6  5 15  9  7  3 14  4
  4 15 13  2  5  6  8 12  7  1  9 11 10  3 14
  9 10 13 11  6  7 14 12  3  8  4  5  1  2 15
 12  3  1 11 15 13  4  8  6 10  5  2  9 14  7
 11  9  7  5  1  4 13 12  2  8  3 15 14 10  6
  8 11  4  9 14  5  3  2  1 15  6  7 10 12 13
